Group Number,Date_Submittted,Analyte_(Lead),Result_Lead_(PPB),Analyte_(Copper),Result_Copper_(PPB),Address,City,Zip_Code,Site_Code,Service_Line_Material,Sample_Location
1,2/24/2016,Lead,0,Copper,60,MALLERY ST   ,FLINT,48504,FS0765,Copper,KITCHEN
1,2/29/2016,Lead,0,Copper,110,MALLERY ST   ,FLINT,48504,FS0861,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,WALTER ST   ,FLINT,48504,FS0870,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,70,DARYLL DR   ,FLINT,48505,FS0994,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,DARYLL DR   ,FLINT,48505,FS0999,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,ROBBIE LN   ,FLINT,48505,FS1007,Copper,KITCHEN
1,2/16/2016,Lead,0,Copper,0,ROBBIE LN   ,FLINT,48505,FS1007,Copper,BATHROOM
1,2/24/2016,Lead,0,Copper,0,HERRICK ST   ,FLINT,48532,FS1031,Copper,KITCHEN
1,2/28/2016,Lead,0,Copper,0,OGEMA AVE   ,FLINT,48507,FS1036,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,TENNYSON AVE   ,FLINT,48507,FS1047,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BRABYN ST   ,FLINT,48503,FS1068,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,ARLENE AVE   ,FLINT,48532,FS1079,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,HOGARTH AVE   ,FLINT,48532,FS1104,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CLAIRMONT ST   ,FLINT,48503,FS1127,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,50,AVENUE B   ,FLINT,48503,FS1128,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,E GENESEE ST  ,FLINT,48505,FS1171,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,60,W FOSS AVE  ,FLINT,48505,FS1202,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,110,MOUNTAIN AVE   ,FLINT,48503,FS1203,Copper,KITCHEN
1,2/27/2016,Lead,0,Copper,0,E JACKSON AVE  ,FLINT,48505,FS1206,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,90,E CARPENTER RD  ,FLINT,48505,FS1208,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,HURON ST   ,FLINT,48507,FS1210,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS1213,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BRANDON ST   ,FLINT,48503,FS1214,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,LARCHMONT ST   ,FLINT,48503,FS1226,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,GREENFIELD AVE   ,FLINT,48503,FS1228,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,MONTCLAIR AVE   ,FLINT,48503,FS1229,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,BURROUGHS AVE   ,FLINT,48507,FS1247,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BURROUGHS AVE   ,FLINT,48507,FS1256,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,80,BURROUGHS AVE   ,FLINT,48507,FS1261,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,E YORK AVE  ,FLINT,48505,FS1330,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,60,W SIXTH ST  ,FLINT,48503,FS1333,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,PIERCE ST   ,FLINT,48503,FS1383,Copper,BATHROOM
1,2/24/2016,Lead,0,Copper,0,KENNELWORTH AVE   ,FLINT,48503,FS1387,Copper,BATHROOM
1,2/25/2016,Lead,0,Copper,0,WINTHROP BLVD   ,FLINT,48505,FS1415,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,60,CHANDLER AVE   ,FLINT,48503,FS1418,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,HERRICK ST   ,FLINT,48532,FS1437,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,190,BURROUGHS AVE   ,FLINT,48507,FS1442,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,DURAND ST   ,FLINT,48503,FS1443,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BLANCHARD AVE   ,FLINT,48503,FS1445,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,80,W GENESEE ST  ,FLINT,48505,FS1480,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,200,CLINTON ST   ,FLINT,48507,FS1515,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,W MC CLELLAN ST ,FLINT,48505,FS1532,Copper,BATHROOM
1,2/24/2016,Lead,0,Copper,0,CASSIUS ST   ,FLINT,48505,FS1577,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,NOLEN DR   ,FLINT,48504,FS1578,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,210,ARLENE AVE   ,FLINT,48532,FS1586,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,WALDMAN AVE   ,FLINT,48507,FS1591,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,E BAKER ST  ,FLINT,48505,FS1597,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,HOLLY AVE   ,FLINT,48506,FS1601,Copper,BATHROOM
1,2/24/2016,Lead,0,Copper,0,MASON ST   ,FLINT,48505,FS1627,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BLANCHARD AVE   ,FLINT,48503,FS1638,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,90,HOGARTH AVE   ,FLINT,48532,FS1659,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,WHITNEY AVE   ,FLINT,48532,FS1666,Copper,
1,2/24/2016,Lead,0,Copper,0,CRAWFORD ST   ,FLINT,48507,FS1668,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,50,CLAIRMONT ST   ,FLINT,48503,FS1671,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CLINTON ST   ,FLINT,48507,FS1672,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,90,CASSIUS ST   ,FLINT,48505,FS1690,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,70,BROWNING AVE   ,FLINT,48507,FS1698,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CRAWFORD ST   ,FLINT,48507,FS1726,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,NOLEN DR   ,FLINT,48504,FS1743,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,NOLEN DR   ,FLINT,48504,FS1756,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,60,ARLENE AVE   ,FLINT,48532,FS1851,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,MASON ST   ,FLINT,48505,FS1891,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,LAFAYETTE ST   ,FLINT,48503,FS1897,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BRANDON ST   ,FLINT,48503,FS1966,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,HURON ST   ,FLINT,48507,FS1968,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CHAMBERS ST   ,FLINT,48507,FS1971,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,130,CHANDLER AVE   ,FLINT,48503,FS1972,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,GRANDY ST   ,FLINT,48503,FS1975,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,GREENFIELD AVE   ,FLINT,48503,FS1976,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,E BISHOP AVE  ,FLINT,48505,FS1977,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,DALE AVE   ,FLINT,48506,FS1992,Copper,
1,2/24/2016,Lead,0,Copper,0,E GENESEE ST  ,FLINT,48505,FS2000,Copper,BATHROOM
1,2/25/2016,Lead,0,Copper,0,W GENESEE ST  ,FLINT,48504,FS2007,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,DALE AVE   ,FLINT,48506,FS2010,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,E SECOND ST  ,FLINT,48503,FS2011,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,ALVORD AVE   ,FLINT,48507,FS2019,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,50,BROWNING AVE   ,FLINT,48507,FS2024,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,TENNYSON AVE   ,FLINT,48507,FS2026,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BROWNING AVE   ,FLINT,48507,FS2028,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,70,E RUSSELL AVE  ,FLINT,48505,FS2038,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,150,E GENESEE ST  ,FLINT,48505,FS2040,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,50,CLINTON ST   ,FLINT,48507,FS2042,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CALUMET ST   ,FLINT,48503,FS2054,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CLINTON ST   ,FLINT,48507,FS2055,Copper,
1,2/24/2016,Lead,0,Copper,0,CHALMERS ST   ,FLINT,48503,FS2077,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,60,GREENFIELD AVE   ,FLINT,48503,FS2123,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,E GENESEE ST  ,FLINT,48505,FS2124,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,70,E ALMA AVE  ,FLINT,48505,FS2128,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CLINTON ST   ,FLINT,48507,FS2134,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,W SIXTH ST  ,FLINT,48503,FS2193,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,90,MOUNTAIN AVE   ,FLINT,48503,FS2196,Copper,KITCHEN
1,2/25/2016,Lead,0,Copper,0,E YORK AVE  ,FLINT,48505,FS2198,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,130,LAFAYETTE ST   ,FLINT,48503,FS2222,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,E CARPENTER RD  ,FLINT,48505,FS2224,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS2233,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BRANDON ST   ,FLINT,48503,FS2234,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,220,CLINTON ST   ,FLINT,48507,FS2242,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,FRANK ST   ,FLINT,48504,FS2245,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CLINTON ST   ,FLINT,48507,FS2247,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,50,PIERCE ST   ,FLINT,48503,FS2262,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,ALLENDALE PL   ,FLINT,48503,FS2340,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS2345,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,WOODROW AVE   ,FLINT,48506,FS2351,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,90,ALLENDALE PL   ,FLINT,48503,FS2354,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,190,ARLENE AVE   ,FLINT,48532,FS2364,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,80,CALUMET ST   ,FLINT,48503,FS2454,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,130,BROWNING AVE   ,FLINT,48507,FS2455,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,LINCOLN AVE   ,FLINT,48507,FS2474,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,ARLENE AVE   ,FLINT,48532,FS2492,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,70,HOGARTH AVE   ,FLINT,48532,FS2498,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,CRAWFORD ST   ,FLINT,48507,FS2514,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,E MOORE ST  ,FLINT,48505,FS2573,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,70,WHITNEY AVE   ,FLINT,48532,FS2608,Copper,
1,2/24/2016,Lead,0,Copper,80,SHERWOOD DR   ,FLINT,48503,FS2611,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,CAMPBELL ST   ,FLINT,48507,FS2616,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,0,BROWNING AVE   ,FLINT,48507,FS2622,Copper,KITCHEN
1,2/24/2016,Lead,0,Copper,60,MILTON DR   ,FLINT,48507,FS2683,Copper,KITCHEN
1,2/26/2016,Lead,0,Copper,0,DALE AVE   ,FLINT,48506,FS2714,Copper,
1,2/24/2016,Lead,0,Copper,0,CRAWFORD ST   ,FLINT,48507,FS2715,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,140,E RUSSELL AVE  ,FLINT,48505,FS0004,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,70,W KEARSLEY ST  ,FLINT,48532,FS0110,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,90,KIRK AVE   ,FLINT,48503,FS0122,Copper,KITCHEN
1,2/21/2016,Lead,1,Copper,0,JANICE DR   ,FLINT,48504,FS0137,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,0,SALLY CT   ,FLINT,48505,FS0138,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,0,ORANGE LN   ,FLINT,48505,FS0139,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,80,COMMONWEALTH AVE   ,FLINT,48503,FS0181,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,0,CLINTON ST   ,FLINT,48507,FS0234,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,0,IDA AVE   ,FLINT,48503,FS0269,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,100,MOUNTAIN AVE   ,FLINT,48503,FS0294,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,0,E COURT ST  ,FLINT,48503,FS0306,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,60,WINONA ST   ,FLINT,48504,FS0337,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,160,RASKOB ST   ,FLINT,48504,FS0359,Copper,KITCHEN
1,2/16/2016,Lead,1,Copper,0,PONTIAC ST   ,FLINT,48503,FS0377,Copper,
1,2/16/2016,Lead,1,Copper,0,MASON ST   ,FLINT,48503,FS0381,Copper,BATHROOM
1,2/24/2016,Lead,1,Copper,0,SENECA ST   ,FLINT,48504,FS0413,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,COPEMAN BLVD   ,FLINT,48504,FS0420,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,370,COPEMAN BLVD   ,FLINT,48504,FS0536,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,WELCH BLVD   ,FLINT,48504,FS0632,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,300,BRENTWOOD DR   ,FLINT,48503,FS0692,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,MASON ST   ,FLINT,48505,FS1039,Copper,KITCHEN
1,2/25/2016,Lead,1,Copper,0,E AUSTIN AVE  ,FLINT,48505,FS1167,Copper,BATHROOM
1,2/24/2016,Lead,1,Copper,0,PIERCE ST   ,FLINT,48503,FS1440,Copper,
1,2/24/2016,Lead,1,Copper,80,CLAIRMONT ST   ,FLINT,48503,FS1521,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,CRAWFORD ST   ,FLINT,48507,FS1633,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,100,MAXINE ST   ,FLINT,48503,FS1656,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,BLANCHARD AVE   ,FLINT,48503,FS1728,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,KENSINGTON AVE   ,FLINT,48503,FS1771,Copper,BATHROOM
1,2/26/2016,Lead,1,Copper,0,NEW YORK AVE  ,FLINT,48506,FS1855,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,CLINTON ST   ,FLINT,48507,FS1899,Copper,KITCHEN
1,2/26/2016,Lead,1,Copper,150,ROBBIE LN   ,FLINT,48505,FS1917,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,70,WINDEMERE AVE   ,FLINT,48503,FS1995,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,E COURT ST  ,FLINT,48503,FS2037,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,E BAKER ST  ,FLINT,48505,FS2059,Copper,KITCHEN
1,2/26/2016,Lead,1,Copper,50,STARKWEATHER ST   ,FLINT,48506,FS2127,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,0,E BAKER ST  ,FLINT,48505,FS2220,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,120,MOUNTAIN AVE   ,FLINT,48503,FS2226,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,320,FRANK ST   ,FLINT,48504,FS2245,Copper,BATHROOM
1,2/24/2016,Lead,1,Copper,0,PIERCE ST   ,FLINT,48503,FS2265,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,110,CHANDLER AVE   ,FLINT,48503,FS2344,Copper,KITCHEN
1,2/29/2016,Lead,1,Copper,280,MASON ST   ,FLINT,48503,FS2348,Copper,KITCHEN
1,2/26/2016,Lead,1,Copper,0,NEW YORK AVE  ,FLINT,48506,FS2355,Copper,KITCHEN
1,2/24/2016,Lead,1,Copper,140,HERRICK ST   ,FLINT,48532,FS2511,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,170,FOREST HILL AVE  ,FLINT,48504,FS0035,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,W GENESEE ST  ,FLINT,48504,FS0040,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,80,MALLERY ST   ,FLINT,48504,FS0097,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,JANICE DR   ,FLINT,48504,FS0137,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,170,KENNELWORTH AVE   ,FLINT,48503,FS0171,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,GLOUCESTER ST   ,FLINT,48503,FS0173,Copper,BATHROOM
1,2/16/2016,Lead,2,Copper,70,SWAYZE ST   ,FLINT,48503,FS0188,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,CLAIRMONT ST   ,FLINT,48503,FS0196,Copper,KITCHEN
1,2/24/2016,Lead,2,Copper,50,CLAIRMONT ST   ,FLINT,48503,FS0196,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,BROWN ST   ,FLINT,48503,FS0259,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,BLANCHARD AVE   ,FLINT,48503,FS0282,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,E COURT ST  ,FLINT,48503,FS0289,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,180,WINDEMERE AVE   ,FLINT,48503,FS0291,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,0,E RUTH AVE  ,FLINT,48505,FS0314,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,80,COPEMAN BLVD   ,FLINT,48504,FS0334,Copper,BATHROOM
1,2/16/2016,Lead,2,Copper,0,KELLAR AVE   ,FLINT,48504,FS0335,Copper,KITCHEN
1,2/16/2016,Lead,2,Copper,70,CADILLAC ST   ,FLINT,48504,FS0397,Copper,KITCHEN/BATHROOM
